Stimulus Name,Respondent Name,Gender,Age,Group,Fixation Number(per AOI),Fixation Centroid X,Fixation Centroid Y,Fixation StartMs,Duration Ms,AOI Label,Fixation Sequence(Across AOIs)
Survey-Starting-Agreement,P00,Male,47,G1,1,980.95,537.35,0,35.2202,N/A,1
Survey-Starting-Agreement,P00,Male,47,G1,2,1041.25,545.416666666667,135.1483,99.9279,N/A,2
Survey-Starting-Agreement,P00,Male,47,G1,3,802.772727272727,259.045454545455,301.6989,183.1981,N/A,3
Survey-Starting-Agreement,P00,Male,47,G1,4,666.590964595713,819.636378150937,568.17045,199.85655,N/A,4
Survey-Starting-Agreement,P00,Male,47,G1,5,985.076923076923,834.576923076923,901.2645,216.51145,N/A,5
Survey-Starting-Agreement,P00,Male,47,G1,6,1093.25,839125,1167.7391,66.6196,N/A,6
Survey-Starting-Agreement,P00,Male,47,G1,7,613.714285714286,191.571428571429,1317.6317,116.58255,N/A,7
Survey-Starting-Agreement,P00,Male,47,G1,8,329.192307692308,201.961538461538,1500.8334,216.52505,N/A,8
Survey-Starting-Agreement,P00,Male,47,G1,9,501.111111111111,194.555555555556,1783.96305,149.89235,N/A,9
Survey-Starting-Agreement,P00,Male,47,G1,10,692.590909090909,201.636363636364,2000.4737,183.2013,N/A,10
Survey-Starting-Agreement,P00,Male,47,G1,11,972.95,199.2,2250.29375,166.64435,N/A,11
Survey-Starting-Agreement,P00,Male,47,G1,12,554.083333333333,699.5,2566.7336,99.9275499999994,N/A,12
Survey-Starting-Agreement,P00,Male,47,G1,13,605375,752875,2699.9711,66.6190999999999,N/A,13
Survey-Starting-Agreement,P00,Male,47,G1,14,513.911764705882,754.029411764706,2816.5542,283.12895,N/A,14
Survey-Starting-Agreement,P00,Male,47,G1,15,625.3,724.7,3532.7062,83.2727999999997,N/A,15
Survey-Starting-Agreement,P00,Male,47,G1,16,445375,206.5,3765.8701,133.23835,N/A,16
Survey-Starting-Agreement,P00,Male,47,G1,17,275.714285714286,227.107142857143,3949.0732,233.164650000001,N/A,17
Survey-Starting-Agreement,P00,Male,47,G1,18,561.289473684211,235.078947368421,4265.5113,316.4402,N/A,18
Survey-Starting-Agreement,P00,Male,47,G1,19,785.388888888889,239,4631.9142,149.894850000001,N/A,19
Survey-Starting-Agreement,P00,Male,47,G1,20,946.1,247.85,4865.0802,166.545950000002,N/A,20
Survey-Starting-Agreement,P00,Male,47,G1,21,1472.83333333333,206.833333333333,5098.24495,99.9297999999999,N/A,21
Survey-Starting-Agreement,P00,Male,47,G1,22,1338,204.590909090909,5248.13765,183.20175,N/A,22
Survey-Starting-Agreement,P00,Male,47,G1,23,1504.4375,227125,5481.3035,133.23705,N/A,23
Survey-Starting-Agreement,P00,Male,47,G1,24,447.083333333333,251.25,5714.4704,99.9266500000003,N/A,24
Survey-Starting-Agreement,P00,Male,47,G1,25,279.25,260.5,5864.36145,99.9288000000006,N/A,25
Survey-Starting-Agreement,P00,Male,47,G1,26,174.75,258375,5997.5988,66.6202499999999,N/A,26
Survey-Starting-Agreement,P00,Male,47,G1,27,334,254.291666666667,6364.0015,199.8567,N/A,27
Survey-Starting-Agreement,P00,Male,47,G1,28,505.617647058824,254.441176470588,6613.8227,283.12845,N/A,28
Survey-Starting-Agreement,P00,Male,47,G1,29,640.166666666667,241.833333333333,6946.91605,149.892099999999,N/A,29
Survey-Starting-Agreement,P00,Male,47,G1,30,798375,270.5,7146.77255,66.6193000000003,N/A,30
Survey-Starting-Agreement,P00,Male,47,G1,31,758.3,233.3,7280.0098,83.2739999999994,N/A,31
Survey-Starting-Agreement,P00,Male,47,G1,32,504.9,230.333333333333,7429.90175,249.82165,N/A,32
Survey-Starting-Agreement,P00,Male,47,G1,33,770.115384615385,236.884615384615,7746.3409,216.5111,N/A,33
Survey-Starting-Agreement,P00,Male,47,G1,34,971.25,227.2,8029.4705,166.546200000002,N/A,34
Survey-Starting-Agreement,P00,Male,47,G1,35,1109875,242875,8229.3265,66.6217500000002,N/A,35
Survey-Starting-Agreement,P00,Male,47,G1,36,1043.33333333333,235.916666666667,8329.25485,99.9290500000006,N/A,36
Survey-Starting-Agreement,P00,Male,47,G1,37,841.541666666667,229.333333333333,8462.49245,199.8565,N/A,37
Survey-Starting-Agreement,P00,Male,47,G1,38,948.3,236.5,8712.31225,83.2739500000007,N/A,38
Survey-Starting-Agreement,P00,Male,47,G1,39,1095.81818181818,241.727272727273,8845.5503,183.201950000001,N/A,39
Survey-Starting-Agreement,P00,Male,47,G1,40,1259.8,246.35,9145.33355,166.5484,N/A,40
Survey-Starting-Agreement,P00,Male,47,G1,41,1451.27777777778,257.5,9361.84605,149.892349999998,N/A,41
Survey-Starting-Agreement,P00,Male,47,G1,42,1538.03846153846,271.115384615385,9561.70225,216.510750000001,N/A,42
Survey-Starting-Agreement,P00,Male,47,G1,43,386.25,299375,9878.1403,66.61895,N/A,43
Survey-Starting-Agreement,P00,Male,47,G1,44,228.5,312625,9978.07005,133.237300000001,N/A,44
Survey-Starting-Agreement,P00,Male,47,G1,45,190.15625,310.90625,10127962,266.4743,N/A,45
Survey-Starting-Agreement,P00,Male,47,G1,46,328.333333333333,295.520833333333,10511.01955,399.712049999998,N/A,46
Survey-Starting-Agreement,P00,Male,47,G1,47,467.0625,298.0625,10960.69645,133.237099999998,N/A,47
Survey-Starting-Agreement,P00,Male,47,G1,48,416.326923076923,299,11127.24175,433.022050000001,N/A,48
Survey-Starting-Agreement,P00,Male,47,G1,49,480.8,295.2,11593.5739,83.2741000000005,N/A,49
Survey-Starting-Agreement,P00,Male,47,G1,50,419.785714285714,289.047619047619,11710.1567,349.749250000001,N/A,50
Survey-Starting-Agreement,P00,Male,47,G1,51,315.464285714286,297.571428571429,12093.2139,233.1656,N/A,51
Survey-Starting-Agreement,P00,Male,47,G1,52,423.071428571429,291.678571428571,12459.61745,233.165899999998,N/A,52
Survey-Starting-Agreement,P00,Male,47,G1,53,550.884615384615,294.769230769231,12742.7467,216.51275,N/A,53
Survey-Starting-Agreement,P00,Male,47,G1,54,663.777777777778,289.5,12992.5676,149.891750000001,N/A,54
Survey-Starting-Agreement,P00,Male,47,G1,55,829.5,280375,13192.4239,66.6178500000024,N/A,55
Survey-Starting-Agreement,P00,Male,47,G1,56,800.8,283.6,13292.3522,83.2739500000007,N/A,56
Survey-Starting-Agreement,P00,Male,47,G1,57,925.5,257.714285714286,13525.51735,116.583600000002,N/A,57
Survey-Starting-Agreement,P00,Male,47,G1,58,1083.72222222222,287,13708.71995,149.89255,N/A,58
Survey-Starting-Agreement,P00,Male,47,G1,59,1237.5,289.166666666667,13975.1962,99.9261000000006,N/A,59
Survey-Starting-Agreement,P00,Male,47,G1,60,1492,298375,14125.08605,66.6187500000015,N/A,60
Survey-Starting-Agreement,P00,Male,47,G1,61,1442.82142857143,309.892857142857,14225.0151,233.164699999999,N/A,61
Survey-Starting-Agreement,P00,Male,47,G1,62,1270,304.285714285714,14508.14575,116.5813,N/A,62
