Study Name,Respondent Name,Gender,Age,Group,Type,Label,Start (ms),Duration (ms),Parent Stimulus,Count Frames,Anger Threshold,Anger Frames >= Threshold,Anger Time Percentage,Sadness Threshold,Sadness Frames >= Threshold,Sadness Time Percentage,Disgust Threshold,Disgust Frames >= Threshold,Disgust Time Percentage,Joy Threshold,Joy Frames >= Threshold,Joy Time Percentage,Surprise Threshold,Surprise Frames >= Threshold,Surprise Time Percentage,Fear Threshold,Fear Frames >= Threshold,Fear Time Percentage,Contempt Threshold,Contempt Frames >= Threshold,Contempt Time Percentage,Engagement Threshold,Engagement Frames >= Threshold,Engagement Time Percentage,Attention Threshold,Attention Frames >= Threshold,Attention Time Percentage,Positive Threshold,Positive Frames >= Threshold,Positive Time Percentage,Negative Threshold,Negative Frames <= Threshold,Negative Time Percentage,Neutral Threshold,Neutral Frames Between Threshold,Neutral Time Percentage,Brow Furrow Threshold,Brow Furrow Frames >= Threshold,Brow Furrow Time Percentage,Brow Raise Threshold,Brow Raise Frames >= Threshold,Brow Raise Time Percentage,Lip Corner Depressor Threshold,Lip Corner Depressor Frames >= Threshold,Lip Corner Depressor Time Percentage,Smile Threshold,Smile Frames >= Threshold,Smile Time Percentage,Inner Brow Raise Threshold,Inner Brow Raise Frames >= Threshold,Inner Brow Raise Time Percentage,Eye Closure Threshold,Eye Closure Frames >= Threshold,Eye Closure Time Percentage,Nose Wrinkle Threshold,Nose Wrinkle Frames >= Threshold,Nose Wrinkle Time Percentage,Upper Lip Raise Threshold,Upper Lip Raise Frames >= Threshold,Upper Lip Raise Time Percentage,Lip Suck Threshold,Lip Suck Frames >= Threshold,Lip Suck Time Percentage,Lip Press Threshold,Lip Press Frames >= Threshold,Lip Press Time Percentage,Mouth Open Threshold,Mouth Open Frames >= Threshold,Mouth Open Time Percentage,Chin Raise Threshold,Chin Raise Frames >= Threshold,Chin Raise Time Percentage,Smirk Threshold,Smirk Frames >= Threshold,Smirk Time Percentage,Lip Pucker Threshold,Lip Pucker Frames >= Threshold,Lip Pucker Time Percentage,Cheek Raise Threshold,Cheek Raise Frames >= Threshold,Cheek Raise Time Percentage,Dimpler Threshold,Dimpler Frames >= Threshold,Dimpler Time Percentage,Eye Widen Threshold,Eye Widen Frames >= Threshold,Eye Widen Time Percentage,Lid Tighten Threshold,Lid Tighten Frames >= Threshold,Lid Tighten Time Percentage,Lip Stretch Threshold,Lip Stretch Frames >= Threshold,Lip Stretch Time Percentage,Jaw Drop Threshold,Jaw Drop Frames >= Threshold,Jaw Drop Time Percentage
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Survey-Starting-Agreement,228,31617,,474,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,26,5.49,30,468,98.73,30,0,0,-30,0,0,-30|30,472,99.58,30,0,0,30,5,1.05,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,17,3.59,30,0,0,30,0,0,30,0,0,30,90,18.99,30,0,0,30,15,3.16,30,0,0,30,0,0,30,0,0,30,41,8.65
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Instructions-Part-1,31971,12805,,192,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,1.56,30,192,100,30,0,0,-30,4,2.08,-30|30,188,97.92,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,9,4.69,30,12,6.25,30,0,0,30,0,0,30,0,0,30,18,9.38,30,0,0,30,14,7.29,30,2,1.04,30,0,0,30,2,1.04,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo01,44836,5999,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,98.89,30,0,0,-30,0,0,-30|30,89,98.89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,3.33,30,0,0,30,2,2.22,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo02_name-white,50896,6002,,89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,100,30,0,0,-30,0,0,-30|30,89,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo03_name-white,56958,5987,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,89,98.89,30,0,0,-30,0,0,-30|30,89,98.89,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,30,33.33,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo04_name-white,63173,5991,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Survey-FavoriteBrand,69400,15244,,228,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,16,7.02,30,228,100,30,0,0,-30,0,0,-30|30,228,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,25,10.96,30,0,0,30,0,0,30,0,0,30,23,10.09,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,24,10.53
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Survey-BrandAwareness,84764,8644,,129,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,1,0.78,30,128,99.22,30,0,0,-30,0,0,-30|30,128,99.22,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,12,9.3,30,0,0,30,0,0,30,0,0,30,27,20.93,30,0,0,30,4,3.1,30,0,0,30,0,0,30,0,0,30,6,4.65
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,Instructions-Part-2,93489,14685,,220,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,220,100,30,0,0,-30,0,0,-30|30,220,100,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,3,1.36,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
Study-USJ-BU-001,P08,Female,46,G1,Stimulus,logo-product01,108222,5991,,90,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,90,100,30,0,0,-30,0,0,-30|30,90,100,30,0,0,30,40,44.44,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,19,21.11,30,0,0,30,1,1.11,30,0,0,30,0,0,30,0,0,30,0,0
