Study Name	Respondent Name	Gender	Age	Group	Type	Label	Start (ms)	Duration (ms)	Signal Duration (ms)	Parent Stimulus	Has Peaks	Peak Count	Peaks Per Minute	Peak Detection Name
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Survey-Starting-Agreement	151	33431	33431		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Instructions-Part-1	33642	5975	5975		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo01	39634	5995	5995		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo02_name-white	45641	5987	5987		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo03_name-white	51642	5996	5996		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo04_name-white	57726	5996	5996		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Survey-FavoriteBrand	63791	6579	6579		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Survey-BrandAwareness	70418	2127	2127		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Instructions-Part-2	72559	16472	16472		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo-product01	89042	5995	5995		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo-product02	95058	5995	5995		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo-product03	101066	6002	6002		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	logo-product04	107148	6000	6000		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Survey-FavoriteProduct	113186	3364	3364		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Instructions-Part-3	116581	7576	7576		1	1	7.92	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	video01 - LOOK	124186	64299	64299		1	1	0.93	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	video02 - Pinarello	188502	60439	60439		1	1	0.99	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	video03 - Trek	248962	69667	69667		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	video04 - Specialized	318709	60154	60154		0	0	0	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	G1	Stimulus	Survey-FavoriteVideoAd	378888	9482	9482		1	1	6.33	GSR Peaks (GSR)
