Study Name	Respondent Name	Gender	Age	Stimulus Name	Scene Name	Annotations	Onset Time	Peak Time	Offset Time	Amplitude	Bin	stimulusPeakSequenceNr	Peak Detection Name
Study-USJ-BU-001	P01	Male	32	Instructions-Part-1			1150	1564	2252	0.0733	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P02	Female	22	Instructions-Part-1			2689	3259	4908	0.028	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Instructions-Part-1			1185	1771	2966	0.0766	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Instructions-Part-1			3404	3873	4755	0.0562	1	2	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	Instructions-Part-1			1964	2503	3878	0.0204	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Instructions-Part-2			2732	3443	5084	0.1275	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Instructions-Part-2			5725	6529	7490	0.044	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Instructions-Part-2			12420	13295	13732	0.0967	3	3	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Instructions-Part-2			3560	4201	6005	0.2246	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Instructions-Part-2			8154	8857	9584	0.2706	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P06	Female	17	Instructions-Part-2			9692	10450	12599	0.0293	2|3	1	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	Instructions-Part-2			2707	2801	3277	0.0051	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	Instructions-Part-2			2829	3704	5173	0.0571	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P00	Male	47	Instructions-Part-3			2643	3448	4956	0.0264	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Instructions-Part-3			2086	2766	4844	0.3341	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Instructions-Part-3			7203	7985	9899	0.0557	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Instructions-Part-3			8012	8231	8520	0.0613	2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	Instructions-Part-3			2684	3825	4263	0.0459	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	Instructions-Part-3			5223	5497	6372	0.0408	1|2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	Instructions-Part-3			2060	3623	5974	0.3062	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-BrandAwareness			4051	5044	7325	0.1861	1|2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-BrandAwareness			11403	12723	13544	0.0894	3	2	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-BrandAwareness			14676	15731	17067	0.2667	4	3	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Survey-BrandAwareness			4087	4626	5478	0.1481	1|2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Survey-BrandAwareness			7251	7665	7829	0.1481	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P05	Female	17	Survey-BrandAwareness			8529	9630	12232	0.044	2|3	1	GSR Peaks (GSR)
Study-USJ-BU-001	P06	Female	17	Survey-BrandAwareness			4183	5144	7370	0.0059	1|2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	Survey-BrandAwareness			2035	3074	3371	0.0204	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	Survey-BrandAwareness			452	570	1460	0.0059	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	Survey-BrandAwareness			2726	3148	3913	0.0425	1	2	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	Survey-BrandAwareness			7445	7992	8468	0.1055	2	3	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-FavoriteBrand			2790	3368	4368	0.1377	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-FavoriteBrand			6103	6329	6837	0.0088	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-FavoriteBrand			7478	8447	9822	0.189	2	3	GSR Peaks (GSR)
Study-USJ-BU-001	P01	Male	32	Survey-FavoriteBrand			12157	12829	14032	0.085	3	4	GSR Peaks (GSR)
Study-USJ-BU-001	P02	Female	22	Survey-FavoriteBrand			5149	5852	9086	0.0571	2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Survey-FavoriteBrand			5227	5852	6899	0.1327	2	1	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Survey-FavoriteBrand			6946	7852	9360	0.5207	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P03	Female	16	Survey-FavoriteBrand			13610	14274	15126	0.3114	3	3	GSR Peaks (GSR)
Study-USJ-BU-001	P04	Female	17	Survey-FavoriteBrand			2376	2915	4446	0.1327	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P04	Female	17	Survey-FavoriteBrand			5297	5915	7821	0.1174	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P05	Female	17	Survey-FavoriteBrand			3167	3948	6073	0.0527	1	1	GSR Peaks (GSR)
