Multiple Choice Matrix
Question ID	Q1-Favorite-Brand
Headline	After watching the video ads, which brand created the best impression on you?
Allow multiple choice	NO
Number of Categories	4
Number of Questions	1
Attached to stimulus	N/A
LABEL ID	LABEL TEXT	LABEL VALUE
Label1	Look	1
Label2	Pinarello	2
Label3	Trek	3
Label4	Specialized	4
QUESTION ID	QUESTION TEXT
Question1	Select your favorite brand:

STUDY	RESPONDENT	GENDER	AGE	GROUP	Question1.LABELID	Question1.LABELTEXT	Question1.LABELVALUE	Question1.TIMING	
Study-USJ-BU-001	P08	FEMALE	46	G1	Label1	Look		
Study-USJ-BU-001	P08	FEMALE	46	G1	Label2	Pinarello	2	4916.6863
Study-USJ-BU-001	P08	FEMALE	46	G1	Label3	Trek		
Study-USJ-BU-001	P08	FEMALE	46	G1	Label4	Specialized		
Study-USJ-BU-001	P07	FEMALE	13	G1	Label1	Look		
Study-USJ-BU-001	P07	FEMALE	13	G1	Label2	Pinarello		
Study-USJ-BU-001	P07	FEMALE	13	G1	Label3	Trek		
Study-USJ-BU-001	P07	FEMALE	13	G1	Label4	Specialized	4	4723.04480000003
Study-USJ-BU-001	P06	FEMALE	17	G1	Label1	Look		
Study-USJ-BU-001	P06	FEMALE	17	G1	Label2	Pinarello		
Study-USJ-BU-001	P06	FEMALE	17	G1	Label3	Trek	3	8211.56819999998
Study-USJ-BU-001	P06	FEMALE	17	G1	Label4	Specialized		
Study-USJ-BU-001	P05	FEMALE	17	G1	Label1	Look		
Study-USJ-BU-001	P05	FEMALE	17	G1	Label2	Pinarello	2	3991.11139999999
Study-USJ-BU-001	P05	FEMALE	17	G1	Label3	Trek		
Study-USJ-BU-001	P05	FEMALE	17	G1	Label4	Specialized		
Study-USJ-BU-001	P04	FEMALE	17	G1	Label1	Look		
Study-USJ-BU-001	P04	FEMALE	17	G1	Label2	Pinarello		
Study-USJ-BU-001	P04	FEMALE	17	G1	Label3	Trek		
Study-USJ-BU-001	P04	FEMALE	17	G1	Label4	Specialized	4	4436.3812
Study-USJ-BU-001	P03	FEMALE	16	G1	Label1	Look		
Study-USJ-BU-001	P03	FEMALE	16	G1	Label2	Pinarello		
Study-USJ-BU-001	P03	FEMALE	16	G1	Label3	Trek		
Study-USJ-BU-001	P03	FEMALE	16	G1	Label4	Specialized	4	5123.0257
Study-USJ-BU-001	P02	FEMALE	22	G1	Label1	Look		
Study-USJ-BU-001	P02	FEMALE	22	G1	Label2	Pinarello		
Study-USJ-BU-001	P02	FEMALE	22	G1	Label3	Trek		
Study-USJ-BU-001	P02	FEMALE	22	G1	Label4	Specialized	4	15764.7846
Study-USJ-BU-001	P01	MALE	32	G1	Label1	Look		
Study-USJ-BU-001	P01	MALE	32	G1	Label2	Pinarello	2	8606.47170000005
Study-USJ-BU-001	P01	MALE	32	G1	Label3	Trek		
Study-USJ-BU-001	P01	MALE	32	G1	Label4	Specialized		
Study-USJ-BU-001	P00	MALE	47	G1	Label1	Look		
Study-USJ-BU-001	P00	MALE	47	G1	Label2	Pinarello		
Study-USJ-BU-001	P00	MALE	47	G1	Label3	Trek		
Study-USJ-BU-001	P00	MALE	47	G1	Label4	Specialized	4	6859.12180000002
